,waist,hips,bra size,bust,height,size,body-shape,Dress-Style
60,28.0,36.0,34.0,34,5.02,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
61,31.0,43.0,38.0,38,5.5,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
62,25.0,35.0,32.0,34,5.09,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
63,34.0,43.0,38.0,41,5.08,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
64,25.0,35.0,32.0,32,5.03,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
65,25.0,38.0,32.0,34,5.06,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
66,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
67,34.0,42.0,32.0,38,5.06,12,,
68,27.0,35.0,32.0,32,5.0,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
69,31.0,35.0,34.0,34,5.04,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
70,28.0,35.0,36.0,37,5.06,8,,
71,26.0,32.0,32.0,30,5.02,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
72,32.0,48.0,36.0,39,5.02,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
73,30.0,40.0,34.0,37,5.09,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
74,25.0,36.0,34.0,34,5.04,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
75,34.0,48.0,38.0,42,4.11,26,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
76,28.0,36.0,34.0,34,5.07,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
77,28.0,37.0,32.0,34,5.09,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
78,30.0,43.0,36.0,37,5.06,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
79,27.0,36.0,34.0,33,5.5,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
80,27.0,37.0,36.0,33,5.07,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
81,28.0,41.0,36.0,36,5.01,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
82,28.0,37.0,34.0,36,5.06,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
83,29.0,37.0,34.0,33,5.08,8,,
